finance;insee
FPU;1056
FPU;1068
FPU;1077
FPU;1199
FPU;1200
FPU;1242
FPU;1273
FPU;1303
FPU;1304
FPU;1314
FPU;1331
FPU;1363
FPU;1404
FPU;1430
FPU;1006
FPU;1009
FPU;1015
FPU;1019
FPU;1022
FPU;1453
FPU;1034
FPU;1058
FPU;1061
FPU;1073
FPU;1079
FPU;1098
FPU;1100
FPU;1110
FPU;1116
FPU;1117
FPU;1133
FPU;1138
FPU;1141
FPU;1162
FPU;1338
FPU;1187
FPU;1193
FPU;1066
FPU;1208
FPU;1227
FPU;1234
FPU;1239
FPU;1268
FPU;1286
FPU;1294
FPU;1302
FPU;1310
FPU;1329
FPU;1358
FPU;1372
FPU;1415
FPU;1036
FPU;1452
FPU;1454
FPU;1456
FPU;1005
FPU;1021
FPU;1030
FPU;1105
FPU;1157
FPU;1166
FPU;1238
FPU;1250
FPU;1285
FPU;1318
FPU;1322
FPU;1339
FPU;1347
FPU;1353
FPU;1362
FPU;1398
FPU;1423
FPU;1427
FPU;1446
FPU;1011
FPU;1012
FPU;1014
FPU;1170
FPU;1035
FPU;1031
FPU;1051
FPU;1060
FPU;1063
FPU;1067
FPU;1080
FPU;1087
FPU;1101
FPU;1112
FPU;1121
FPU;1148
FPU;1152
FPU;1155
FPU;1171
FPU;1181
FPU;1191
FPU;1192
FPU;1206
FPU;1204
FPU;1274
FPU;1214
FPU;1228
FPU;1237
FPU;1240
FPU;1265
FPU;1269
FPU;1267
FPU;1282
FPU;1283
FPU;1293
FPU;1185
FPU;1307
FPU;1311
FPU;1373
FPU;1392
FPU;1410
FPU;1441
FPU;1028
FPU;1045
FPU;1052
FPU;1074
FPU;1083
FPU;1090
FPU;1092
FPU;1093
FPU;1113
FPU;1129
FPU;1146
FPU;1085
FPU;1001
FPU;1207
FPU;1299
FPU;1235
FPU;1248
FPU;1261
FPU;1272
FPU;1319
FPU;1328
FPU;1333
FPU;1335
FPU;1382
FPU;1356
FPU;1359
FPU;1371
FPU;1381
FPU;1383
FPU;1389
FPU;1393
FPU;1412
FPU;1428
FPU;1434
FPU;1443
FPU;1449
FPU;1075
FPU;1165
FPU;1167
FPU;1169
FPU;1183
FPU;1188
FPU;1225
FPU;1243
FPU;1252
FPU;1258
FPU;1263
FPU;1295
FPU;1348
FPU;1351
FPU;1420
FPU;1042
FPU;1046
FPU;1084
FPU;1096
FPU;1123
FPU;1134
FPU;1136
FPU;1179
FPU;1203
FPU;1246
FPU;1291
FPU;1306
FPU;1334
FPU;1343
FPU;1355
FPU;1365
FPU;1368
FPU;1457
FPU;1016
FPU;1023
FPU;1025
FPU;1026
FPU;1050
FPU;1057
FPU;1094
FPU;1102
FPU;1159
FPU;1175
FPU;1231
FPU;1284
FPU;1305
FPU;1320
FPU;1323
FPU;1332
FPU;1337
FPU;1352
FPU;1402
FPU;1439
FPU;1024
FPU;1029
FPU;1038
FPU;1040
FPU;1245
FPU;1053
FPU;1130
FPU;1065
FPU;1069
FPU;1072
FPU;1106
